 time            v(vout)         @l1[i]          @l2[i]          v(nl2,nd1)      @d1[id]         @rl[i]         
 7.80354722e-02 -3.55668074e+01  2.98811396e+00 -4.01845781e+00  8.37515891e+01 -1.00000008e-03 -3.95186749e+00 
 7.80356284e-02 -3.55754996e+01  2.98886396e+00 -4.02598552e+00  8.37453028e+01 -1.00000008e-03 -3.95283328e+00 
 7.80357847e-02 -3.55850023e+01  2.98961396e+00 -4.03351081e+00  8.37390048e+01 -1.00000008e-03 -3.95388915e+00 
 7.80359409e-02 -3.55953042e+01  2.99036396e+00 -4.04103358e+00  8.37326950e+01 -1.00000008e-03 -3.95503380e+00 
 7.80360972e-02 -3.56063939e+01  2.99111396e+00 -4.04855368e+00  8.37263734e+01 -1.00000008e-03 -3.95626599e+00 
 7.80362534e-02 -3.56182604e+01  2.99186396e+00 -4.05607101e+00  8.37200401e+01 -1.00000008e-03 -3.95758449e+00 
 7.80364097e-02 -3.56308925e+01  2.99261396e+00 -4.06358543e+00  8.37136951e+01 -1.00000008e-03 -3.95898805e+00 
 7.80365659e-02 -3.56442794e+01  2.99336396e+00 -4.07109683e+00  8.37073383e+01 -1.00000008e-03 -3.96047549e+00 
 7.80367222e-02 -3.56584104e+01  2.99411396e+00 -4.07860508e+00  8.37009698e+01 -1.00000008e-03 -3.96204560e+00 
 7.80368784e-02 -3.56732748e+01  2.99486396e+00 -4.08611007e+00  8.36945895e+01 -1.00000008e-03 -3.96369720e+00 
 7.80370347e-02 -3.56888622e+01  2.99561396e+00 -4.09361168e+00  8.36881975e+01 -1.00000008e-03 -3.96542913e+00 
 7.80371909e-02 -3.57051622e+01  2.99636396e+00 -4.10110980e+00  8.36817939e+01 -1.00000008e-03 -3.96724024e+00 
 7.80373472e-02 -3.57221646e+01  2.99711396e+00 -4.10860432e+00  8.36753785e+01 -1.00000008e-03 -3.96912940e+00 
 7.80375034e-02 -3.57398593e+01  2.99786396e+00 -4.11609513e+00  8.36689513e+01 -1.00000008e-03 -3.97109548e+00 
 7.80376597e-02 -3.57582364e+01  2.99861396e+00 -4.12358211e+00  8.36625125e+01 -1.00000008e-03 -3.97313738e+00 
 7.80378038e-02 -3.57757805e+01  2.99930562e+00 -4.13048327e+00  8.36565642e+01 -1.00000008e-03 -3.97508672e+00 
 7.80379479e-02 -3.57938889e+01  2.99999729e+00 -4.13738101e+00  8.36506059e+01 -1.00000008e-03 -3.97709877e+00 
 7.80379480e-02 -3.57939017e+01  2.99999777e+00 -4.13738580e+00  8.36506017e+01 -1.00000008e-03 -3.97710019e+00 
 7.80379482e-02 -3.57939272e+01  2.99999873e+00 -4.13739537e+00  8.36505934e+01 -1.00000008e-03 -3.97710302e+00 
 7.80379484e-02 -3.57939527e+01  2.99999885e+00 -4.13739655e+00  8.36505923e+01  7.15126515e+00 -3.97710586e+00 
 7.80379486e-02 -3.57939846e+01  2.99999795e+00 -4.13738754e+00  8.36505998e+01  7.13846045e+00 -3.97710940e+00 
 7.80379489e-02 -3.57940165e+01  2.99999705e+00 -4.13737854e+00  8.36506073e+01  7.13738511e+00 -3.97711295e+00 
