 time            v(vout)         @l1[i]          v(ns1)         
 0.00000000e+00  1.09842802e-10  5.49214008e-11  1.09842802e-10 
 1.00000000e-09  1.09825247e-10 -1.70053093e-09 -1.75545123e-04 
 1.05569031e-09  1.09824212e-10 -1.80403778e-09 -1.85861402e-04 
 1.16707092e-09  1.09822019e-10 -2.02314337e-09 -2.07574142e-04 
 1.38983215e-09  1.09816813e-10 -2.54112344e-09 -2.57479697e-04 
 1.83535462e-09  1.09802068e-10 -3.96831154e-09 -3.83200730e-04 
 2.72639954e-09  1.09743961e-10 -8.96440032e-09 -7.38199027e-04 
 4.37589678e-09  1.09425314e-10 -2.95617178e-08 -1.75920626e-03 
 6.59877243e-09  1.08070279e-10 -9.22467605e-08 -3.88078897e-03 
 1.01063927e-08  1.00882133e-10 -3.17507649e-07 -8.96329702e-03 
 1.51249250e-08  6.67669347e-11 -1.04197728e-06 -1.99084762e-02 
 2.28302885e-08 -1.09955915e-10 -3.54505307e-06 -4.50612240e-02 
 3.10746286e-08 -6.19917087e-10 -8.82649413e-06 -8.30616097e-02 
 4.25925530e-08 -2.42624027e-09 -2.25404577e-05 -1.55070944e-01 
 5.74201808e-08 -8.15765586e-09 -5.47720837e-05 -2.79680013e-01 
 7.76310053e-08 -2.72485290e-08 -1.34162931e-04 -5.05947025e-01 
 1.00000000e-07 -7.39660711e-08 -2.83586751e-04 -8.30043555e-01 
 1.02704644e-07 -8.22740811e-08 -3.07216924e-04 -8.73689091e-01 
 1.08113931e-07 -1.00231673e-07 -3.56828462e-04 -9.60620768e-01 
 1.18932505e-07 -1.44951723e-07 -4.70021367e-04 -1.13194555e+00 
 1.40569653e-07 -2.76970527e-07 -7.50487237e-04 -1.46050253e+00 
 1.83843949e-07 -7.43530780e-07 -1.40631575e-03 -1.57052878e+00 
 2.52999082e-07 -2.08505457e-06 -2.47485045e-03 -1.51972825e+00 
 3.66745532e-07 -5.89397915e-06 -4.22635834e-03 -1.55995016e+00 
 5.94238431e-07 -1.88279137e-05 -7.15684941e-03 -1.01641086e+00 
 6.26505842e-07 -2.12448429e-05 -7.50093289e-03 -1.06637108e+00 
 6.91040663e-07 -2.63063168e-05 -8.20886694e-03 -1.12763640e+00 
 7.71549968e-07 -3.28172667e-05 -7.99509842e-03  1.65861782e+00 
 7.80582547e-07 -3.35148156e-05 -7.73934465e-03  2.83142520e+00 
 7.98647707e-07 -3.48404324e-05 -6.97078259e-03  5.67728338e+00 
 8.34778026e-07 -3.68127728e-05 -3.98296822e-03  1.08617426e+01 
 8.70883293e-07 -3.74362278e-05  4.92303550e-04  1.39283155e+01 
 9.30678757e-07 -3.44552344e-05  9.44238468e-03  1.60072652e+01 
 9.96992172e-07 -2.45390774e-05  2.04350595e-02  1.71463744e+01 
 1.06723449e-06 -5.82856385e-06  3.28239493e-02  1.81283141e+01 
 1.17072574e-06  3.82020484e-05  5.22827400e-02  1.94764253e+01 
 1.28765266e-06  1.12782296e-04  7.53600349e-02  1.99967485e+01 
 1.39781867e-06  2.07849813e-04  9.73898339e-02  1.99973919e+01 
 1.49885451e-06  3.16323118e-04  1.17594681e-01  1.99985381e+01 
 1.59770560e-06  4.42149860e-04  1.37362923e-01  1.99982226e+01 
 1.79540778e-06  7.52211062e-04  1.76899196e-01  1.99987622e+01 
 2.19081213e-06  1.60567194e-03  2.55969928e-01  1.99984674e+01 
 2.59081213e-06  2.78513146e-03  3.35955233e-01  1.99985761e+01 
 2.99081213e-06  4.28184428e-03  4.15934668e-01  1.99982084e+01 
 3.39081213e-06  6.09515011e-03  4.95906741e-01  1.99982049e+01 
 3.79081213e-06  8.22438437e-03  5.75870159e-01  1.99978240e+01 
 4.19081213e-06  1.06688786e-02  6.55823578e-01  1.99977787e+01 
 4.59081213e-06  1.34279603e-02  7.35765722e-01  1.99973901e+01 
 4.99081213e-06  1.65009535e-02  8.15695290e-01  1.99973228e+01 
 5.39081213e-06  1.98871779e-02  8.95611018e-01  1.99969293e+01 
 5.79081213e-06  2.35859501e-02  9.75511624e-01  1.99968468e+01 
 6.19081213e-06  2.75965825e-02  1.05539585e+00  1.99964491e+01 
 6.59081213e-06  3.19183841e-02  1.13526244e+00  1.99963591e+01 
 6.99081213e-06  3.65506602e-02  1.21511013e+00  1.99959573e+01 
 7.39081213e-06  4.14927125e-02  1.29493769e+00  1.99958624e+01 
 7.79081213e-06  4.67438390e-02  1.37474385e+00  1.99954579e+01 
 8.19081213e-06  5.23033343e-02  1.45452739e+00  1.99953597e+01 
 8.59081213e-06  5.81704894e-02  1.53428707e+00  1.99949533e+01 
 8.99081213e-06  6.43445918e-02  1.61402165e+00  1.99948530e+01 
 9.39081213e-06  7.08249254e-02  1.69372991e+00  1.99944454e+01 
 9.79081213e-06  7.76107708e-02  1.77341062e+00  1.99943438e+01 
 1.01908121e-05  8.47014050e-02  1.85306255e+00  1.99939355e+01 
 1.05908121e-05  9.20961015e-02  1.93268450e+00  1.99938331e+01 
 1.09908121e-05  9.97941308e-02  2.01227523e+00  1.99934244e+01 
