 time            v(vout)         @l1[i]         
 5.88001000e-03  5.12591660e+00  2.05008826e+00 
 5.88003000e-03  5.12571126e+00  2.04902379e+00 
 5.88006500e-03  5.12535099e+00  2.04716139e+00 
 5.88010000e-03  5.12498954e+00  2.04529956e+00 
 5.88010700e-03  5.12491709e+00  2.04492725e+00 
 5.88012100e-03  5.12477208e+00  2.04418263e+00 
 5.88014900e-03  5.12448151e+00  2.04269345e+00 
 5.88020500e-03  5.12389811e+00  2.03971522e+00 
 5.88031700e-03  5.12272230e+00  2.03375943e+00 
 5.88054100e-03  5.12033464e+00  2.02185082e+00 
 5.88094100e-03  5.11602038e+00  2.01776205e+00 
 5.88124102e-03  5.11282671e+00  2.03218628e+00 
 5.88151236e-03  5.11002979e+00  2.04843035e+00 
 5.88180622e-03  5.10710592e+00  2.06515981e+00 
 5.88216664e-03  5.10366612e+00  2.08584308e+00 
 5.88256664e-03  5.10003717e+00  2.10876992e+00 
 5.88296664e-03  5.09660582e+00  2.13171556e+00 
 5.88336664e-03  5.09337139e+00  2.15466419e+00 
 5.88376664e-03  5.09033312e+00  2.17762083e+00 
 5.88416664e-03  5.08749028e+00  2.20058225e+00 
 5.88456664e-03  5.08484214e+00  2.22354902e+00 
 5.88496664e-03  5.08238796e+00  2.24651949e+00 
 5.88536664e-03  5.08012698e+00  2.26949369e+00 
 5.88576664e-03  5.07805847e+00  2.29247018e+00 
 5.88616664e-03  5.07618166e+00  2.31544889e+00 
 5.88656664e-03  5.07449582e+00  2.33842844e+00 
 5.88696664e-03  5.07300017e+00  2.36140874e+00 
 5.88736664e-03  5.07169397e+00  2.38438844e+00 
 5.88776664e-03  5.07057646e+00  2.40736743e+00 
 5.88816664e-03  5.06964686e+00  2.43034439e+00 
 5.88856664e-03  5.06890441e+00  2.45331917e+00 
 5.88896664e-03  5.06834834e+00  2.47629051e+00 
 5.88936664e-03  5.06797788e+00  2.49925824e+00 
 5.88976664e-03  5.06779226e+00  2.52222111e+00 
 5.89016664e-03  5.06779070e+00  2.54517894e+00 
 5.89056664e-03  5.06797241e+00  2.56813052e+00 
 5.89096664e-03  5.06833661e+00  2.59107564e+00 
 5.89136664e-03  5.06888253e+00  2.61401311e+00 
