 time            v(vout)         @l1[i]          v(ns1)         
 0.00000000e+00  3.92804012e-10  3.92804012e-11  3.92804012e-10 
 1.00000000e-09  3.92787096e-10 -1.65223285e-09 -1.69150932e-04 
 1.05632959e-09  3.92786087e-10 -1.75318145e-09 -1.79210239e-04 
 1.16898876e-09  3.92783947e-10 -1.96700841e-09 -2.00388708e-04 
 1.39430710e-09  3.92778856e-10 -2.47337293e-09 -2.49076384e-04 
 1.84494378e-09  3.92764382e-10 -3.87162857e-09 -3.71491771e-04 
 2.74621714e-09  3.92707086e-10 -8.76429736e-09 -7.14231040e-04 
 4.42945094e-09  3.92388705e-10 -2.89869550e-08 -1.68860224e-03 
 6.73256117e-09  3.91008656e-10 -9.07768893e-08 -3.67717875e-03 
 1.04542864e-08  3.83493211e-10 -3.13014550e-07 -8.26554308e-03 
 1.60456927e-08  3.45908907e-10 -1.03127210e-06 -1.74259374e-02 
 2.57192733e-08  1.24738624e-10 -3.54134721e-06 -3.44695334e-02 
 3.58791316e-08 -4.47157081e-10 -7.71663147e-06 -4.77222480e-02 
 5.20805363e-08 -2.39436115e-09 -1.63211248e-05 -5.84968569e-02 
 7.60402682e-08 -8.11375796e-09 -3.14216692e-05 -6.75525144e-02 
 1.00000000e-07 -1.76768148e-08 -4.84069853e-05 -7.42297002e-02 
 1.04791946e-07 -2.01671066e-08 -5.19702917e-05 -7.43603357e-02 
 1.14375839e-07 -2.54888666e-08 -5.90906082e-05 -7.42289450e-02 
 1.33543625e-07 -3.81722073e-08 -7.32559354e-05 -7.35746010e-02 
 1.71879195e-07 -7.16210418e-08 -1.01260516e-04 -7.25278379e-02 
 2.48550337e-07 -1.70232401e-07 -1.55995677e-04 -7.02514447e-02 
 4.01892621e-07 -4.89468417e-07 -2.60440793e-04 -6.59740237e-02 
 7.08577188e-07 -1.57828857e-06 -4.49824637e-04 -5.75320374e-02 
 7.13477312e-07 -1.60045992e-06 -4.52625164e-04 -5.71537653e-02 
 7.23277560e-07 -1.64507578e-06 -4.58204029e-04 -5.67010052e-02 
 7.42878055e-07 -1.73589836e-06 -4.68871692e-04 -5.21533206e-02 
 7.63574247e-07 -1.82289529e-06 -3.72188903e-04  9.86454864e-01 
 7.90803358e-07 -1.80780864e-06  4.82638509e-04  5.29231735e+00 
 8.17282267e-07 -1.41968264e-06  2.44862481e-03  9.55713061e+00 
 8.47702437e-07 -1.58606090e-07  5.84227249e-03  1.27546934e+01 
 8.87503824e-07  3.26821239e-06  1.13776316e-02  1.50602149e+01 
 9.62393905e-07  1.62486245e-05  2.32895576e-02  1.67515639e+01 
 1.03241541e-06  3.67845898e-05  3.53719096e-02  1.77588912e+01 
 1.10836432e-06  6.89109104e-05  4.92384793e-02  1.87567341e+01 
 1.24541041e-06  1.54568573e-04  7.57894960e-02  1.99910621e+01 
 1.30447588e-06  2.02811112e-04  8.75990194e-02  1.99972082e+01 
 1.36182868e-06  2.56327261e-04  9.90677593e-02  1.99969014e+01 
 1.41485264e-06  3.11653003e-04  1.09671110e-01  1.99982351e+01 
 1.52090054e-06  4.39161986e-04  1.30878279e-01  1.99979661e+01 
 1.73299635e-06  7.61601533e-04  1.73292635e-01  1.99987021e+01 
 2.13299635e-06  1.61427592e-03  2.53282147e-01  1.99984300e+01 
 2.53299635e-06  2.78649471e-03  3.33267326e-01  1.99985600e+01 
 2.93299635e-06  4.27810987e-03  4.13246714e-01  1.99981986e+01 
 3.33299635e-06  6.08896742e-03  4.93218771e-01  1.99981969e+01 
 3.73299635e-06  8.21890778e-03  5.73182195e-01  1.99978229e+01 
 4.13299635e-06  1.06677661e-02  6.53135616e-01  1.99977744e+01 
 4.53299635e-06  1.34353722e-02  7.33077745e-01  1.99973931e+01 
 4.93299635e-06  1.65215508e-02  8.13007258e-01  1.99973205e+01 
 5.33299635e-06  1.99261215e-02  8.92922874e-01  1.99969349e+01 
 5.73299635e-06  2.36488988e-02  9.72823285e-01  1.99968457e+01 
 6.13299635e-06  2.76896921e-02  1.05270721e+00  1.99964560e+01 
 6.53299635e-06  3.20483056e-02  1.13257337e+00  1.99963590e+01 
 6.93299635e-06  3.67245387e-02  1.21242047e+00  1.99959651e+01 
 7.33299635e-06  4.17181856e-02  1.29224724e+00  1.99958629e+01 
 7.73299635e-06  4.70290354e-02  1.37205240e+00  1.99954662e+01 
 8.13299635e-06  5.26568724e-02  1.45183468e+00  1.99953605e+01 
 8.53299635e-06  5.86014758e-02  1.53159281e+00  1.99949620e+01 
 8.93299635e-06  6.48626196e-02  1.61132552e+00  1.99948541e+01 
 9.33299635e-06  7.14400731e-02  1.69103153e+00  1.99944544e+01 
 9.73299635e-06  7.83336006e-02  1.77070958e+00  1.99943451e+01 
 1.01329964e-05  8.55429613e-02  1.85035841e+00  1.99939446e+01 
 1.05329964e-05  9.30679094e-02  1.92997674e+00  1.99938345e+01 
 1.09329964e-05  1.00908194e-01  2.00956333e+00  1.99934337e+01 
 1.13329964e-05  1.09063560e-01  2.08911690e+00  1.99933230e+01 
 1.17329964e-05  1.17533747e-01  2.16863619e+00  1.99929220e+01 
 1.21329964e-05  1.26318489e-01  2.24811995e+00  1.99928112e+01 
 1.25329964e-05  1.35417516e-01  2.32756692e+00  1.99924102e+01 
 1.29329964e-05  1.44830551e-01  2.40697585e+00  1.99922993e+01 
 1.33329964e-05  1.54557316e-01  2.48634547e+00  1.99918984e+01 
 1.37329964e-05  1.64597526e-01  2.56567453e+00  1.99917875e+01 
 1.41329964e-05  1.74950888e-01  2.64496178e+00  1.99913869e+01 
 1.45329964e-05  1.85617110e-01  2.72420597e+00  1.99912761e+01 
 1.49329964e-05  1.96595891e-01  2.80340585e+00  1.99908757e+01 
 1.53329964e-05  2.07886927e-01  2.88256016e+00  1.99907651e+01 
 1.57329964e-05  2.19489907e-01  2.96166767e+00  1.99903649e+01 
 1.61329964e-05  2.31404518e-01  3.04072712e+00  1.99902545e+01 
 1.65329964e-05  2.43630440e-01  3.11973727e+00  1.99898548e+01 
 1.69329964e-05  2.56167348e-01  3.19869687e+00  1.99897446e+01 
 1.73329964e-05  2.69014915e-01  3.27760469e+00  1.99893452e+01 
 1.77329964e-05  2.82172806e-01  3.35645947e+00  1.99892353e+01 
 1.81329964e-05  2.95640682e-01  3.43525999e+00  1.99888362e+01 
 1.85329964e-05  3.09418200e-01  3.51400500e+00  1.99887266e+01 
 1.89329964e-05  3.23505012e-01  3.59269326e+00  1.99883280e+01 
 1.93329964e-05  3.37900765e-01  3.67132354e+00  1.99882187e+01 
 1.97329964e-05  3.52605100e-01  3.74989461e+00  1.99878205e+01 
 2.01000000e-05  3.66367605e-01  3.82193115e+00  1.99877324e+01 
 2.01100000e-05  3.66746327e-01  3.82389324e+00  1.99876999e+01 
 2.01300000e-05  3.67504156e-01  3.82781736e+00  1.99877571e+01 
 2.01650000e-05  3.68832207e-01  3.83468422e+00  1.99877548e+01 
 2.02000000e-05  3.70162616e-01  3.84155058e+00  1.99876007e+01 
 2.02069853e-05  3.70428466e-01  3.84292089e+00  1.99875071e+01 
 2.02209558e-05  3.70960354e-01  3.84566144e+00  1.99873198e+01 
 2.02488968e-05  3.72025257e-01  3.85114224e+00  1.99869197e+01 
 2.03047788e-05  3.74159566e-01  3.86210259e+00  1.99859972e+01 
 2.04165428e-05  3.78446198e-01  3.88401775e+00  1.99834424e+01 
 2.06400709e-05  3.87091459e-01  3.92781572e+00  1.99699846e+01 
 2.08557645e-05  3.95523517e-01  3.96899726e+00  1.89978494e+01 
 2.10591901e-05  4.03545958e-01  3.99825561e+00  1.05668688e+01 
