 time            v(vout)         @l1[i]         
 4.89817457e-05  2.14678429e+02  4.89812342e+00 
 4.94913729e-05  2.14666790e+02  4.94908614e+00 
 5.00010000e-05  2.14655152e+02  5.00004885e+00 
 5.00011000e-05  2.14655150e+02  5.00005885e+00 
 5.00013000e-05  2.14655145e+02  5.00007885e+00 
 5.00015000e-05  2.14655151e+02  5.00007732e+00 
 5.00017500e-05  2.14655172e+02  5.00004848e+00 
 5.00020000e-05  2.14655193e+02  5.00001959e+00 
 5.00020500e-05  2.14655197e+02  5.00001381e+00 
 5.00021500e-05  2.14655206e+02  5.00000225e+00 
 5.00023500e-05  2.14655223e+02  4.99997916e+00 
 5.00027500e-05  2.14655256e+02  4.99993302e+00 
 5.00035500e-05  2.14655323e+02  4.99984080e+00 
 5.00051500e-05  2.14655456e+02  4.99965640e+00 
 5.00083500e-05  2.14655724e+02  4.99928761e+00 
 5.00147500e-05  2.14656258e+02  4.99855003e+00 
 5.00275500e-05  2.14657327e+02  4.99707486e+00 
 5.00531500e-05  2.14659464e+02  4.99412442e+00 
 5.01043500e-05  2.14663731e+02  4.98822377e+00 
 5.02067500e-05  2.14672248e+02  4.97642141e+00 
 5.04115500e-05  2.14689204e+02  4.95281514e+00 
 5.08211500e-05  2.14722806e+02  4.90559316e+00 
 5.16403500e-05  2.14788770e+02  4.81110724e+00 
 5.26403500e-05  2.14867052e+02  4.69570015e+00 
 5.36403500e-05  2.14942870e+02  4.58021913e+00 
 5.46403500e-05  2.15016222e+02  4.46466426e+00 
 5.56403500e-05  2.15087107e+02  4.34903821e+00 
 5.66403500e-05  2.15155523e+02  4.23334321e+00 
 5.76403500e-05  2.15221471e+02  4.11758174e+00 
 5.86403500e-05  2.15284947e+02  4.00175629e+00 
 5.96403500e-05  2.15345952e+02  3.88586934e+00 
 6.06403500e-05  2.15404485e+02  3.76992340e+00 
 6.16403500e-05  2.15460543e+02  3.65392095e+00 
 6.26403500e-05  2.15514128e+02  3.53786451e+00 
 6.36403500e-05  2.15565236e+02  3.42175657e+00 
 6.46403500e-05  2.15613869e+02  3.30559964e+00 
 6.56403500e-05  2.15660025e+02  3.18939622e+00 
 6.66403500e-05  2.15703702e+02  3.07314883e+00 
 6.76403500e-05  2.15744902e+02  2.95685998e+00 
 6.86403500e-05  2.15783623e+02  2.84053218e+00 
 6.96403500e-05  2.15819864e+02  2.72416797e+00 
 7.06403500e-05  2.15853625e+02  2.60776986e+00 
 7.16403500e-05  2.15884907e+02  2.49134039e+00 
 7.26403500e-05  2.15913707e+02  2.37488208e+00 
