 time            v(vout)         @l1[i]          v(ns1)         
 1.39206017e-05  1.66658595e-01  2.60411850e+00  1.99915895e+01 
 1.43206017e-05  1.76890078e-01  2.68339725e+00  1.99913368e+01 
 1.47206017e-05  1.87417831e-01  2.76263347e+00  1.99910781e+01 
 1.51206017e-05  1.98241091e-01  2.84182596e+00  1.99908256e+01 
 1.55206017e-05  2.09359090e-01  2.92097354e+00  1.99905672e+01 
 1.59206017e-05  2.20771057e-01  3.00007505e+00  1.99903149e+01 
 1.63206017e-05  2.32476219e-01  3.07912929e+00  1.99900567e+01 
 1.67206017e-05  2.44473797e-01  3.15813512e+00  1.99898047e+01 
 1.71206017e-05  2.56763014e-01  3.23709135e+00  1.99895468e+01 
 1.75206017e-05  2.69343084e-01  3.31599682e+00  1.99892951e+01 
 1.79206017e-05  2.82213222e-01  3.39485037e+00  1.99890375e+01 
 1.83206017e-05  2.95372638e-01  3.47365085e+00  1.99887861e+01 
 1.87206017e-05  3.08820541e-01  3.55239709e+00  1.99885289e+01 
 1.91206017e-05  3.22556135e-01  3.63108795e+00  1.99882778e+01 
 1.95206017e-05  3.36578620e-01  3.70972228e+00  1.99880209e+01 
 1.98103008e-05  3.46913078e-01  3.76663711e+00  1.99878402e+01 
 2.01000000e-05  3.57397295e-01  3.82352125e+00  1.99876535e+01 
 2.01100000e-05  3.57761956e-01  3.82548425e+00  1.99876945e+01 
 2.01300000e-05  3.58491633e-01  3.82941017e+00  1.99877524e+01 
 2.01650000e-05  3.59770280e-01  3.83628018e+00  1.99877494e+01 
 2.02000000e-05  3.61051109e-01  3.84314973e+00  1.99875954e+01 
 2.02070000e-05  3.61307580e-01  3.84452356e+00  1.99875015e+01 
 2.02210000e-05  3.61820696e-01  3.84727118e+00  1.99873137e+01 
 2.02490000e-05  3.62847974e-01  3.85276612e+00  1.99869124e+01 
 2.03050000e-05  3.64906714e-01  3.86375476e+00  1.99859871e+01 
 2.04170000e-05  3.69040919e-01  3.88572661e+00  1.99834221e+01 
 2.06410000e-05  3.77376134e-01  3.92963830e+00  1.99698537e+01 
 2.08567061e-05  3.85485633e-01  3.97081865e+00  1.89749205e+01 
 2.10603537e-05  3.93205448e-01  4.00006912e+00  1.05303192e+01 
 2.12305187e-05  3.99681753e-01  4.00817077e+00 -2.15314522e-01 
 2.13852498e-05  4.05571408e-01  4.00721575e+00 -2.13857656e-01 
 2.15623939e-05  4.12306771e-01  4.00611122e+00 -2.15308238e-01 
 2.17499785e-05  4.19430457e-01  4.00492871e+00 -2.13729009e-01 
 2.21251478e-05  4.33651080e-01  4.00252365e+00 -2.15312467e-01 
 2.25251478e-05  4.48773504e-01  3.99990074e+00 -2.13718125e-01 
 2.29251478e-05  4.63855111e-01  3.99721707e+00 -2.15488368e-01 
 2.33251478e-05  4.78895741e-01  3.99447321e+00 -2.13689480e-01 
 2.37251478e-05  4.93895236e-01  3.99166973e+00 -2.15256927e-01 
 2.41251478e-05  5.08853439e-01  3.98880604e+00 -2.13839612e-01 
 2.45251478e-05  5.23770192e-01  3.98588236e+00 -2.15377572e-01 
 2.49251478e-05  5.38645340e-01  3.98289914e+00 -2.13816181e-01 
 2.53251478e-05  5.53478727e-01  3.97985655e+00 -2.15355078e-01 
 2.57251478e-05  5.68270201e-01  3.97675479e+00 -2.13777652e-01 
 2.61251478e-05  5.83019608e-01  3.97359402e+00 -2.15317390e-01 
 2.65251478e-05  5.97726800e-01  3.97037483e+00 -2.13531499e-01 
 2.69251478e-05  6.12391626e-01  3.96709732e+00 -2.15103270e-01 
 2.73251478e-05  6.27013937e-01  3.96376133e+00 -2.13487039e-01 
 2.77251478e-05  6.41593587e-01  3.96036702e+00 -2.15060387e-01 
 2.81251478e-05  6.56130426e-01  3.95691457e+00 -2.13441041e-01 
 2.85251478e-05  6.70624308e-01  3.95340415e+00 -2.15016143e-01 
 2.89251478e-05  6.85075089e-01  3.94983593e+00 -2.13393392e-01 
 2.93251478e-05  6.99482623e-01  3.94621009e+00 -2.14970352e-01 
 2.97251478e-05  7.13846768e-01  3.94252680e+00 -2.13344093e-01 
 3.01251478e-05  7.28167380e-01  3.93878624e+00 -2.14923015e-01 
 3.05251478e-05  7.42444318e-01  3.93498858e+00 -2.13293146e-01 
 3.09251478e-05  7.56677441e-01  3.93113400e+00 -2.14874135e-01 
 3.13251478e-05  7.70866610e-01  3.92722268e+00 -2.13240552e-01 
 3.17251478e-05  7.85011687e-01  3.92325480e+00 -2.14823711e-01 
 3.21251478e-05  7.99112534e-01  3.91923053e+00 -2.13186310e-01 
 3.25251478e-05  8.13169013e-01  3.91515005e+00 -2.14771744e-01 
 3.29251478e-05  8.27180990e-01  3.91101355e+00 -2.13130420e-01 
 3.33251478e-05  8.41148331e-01  3.90682119e+00 -2.14718235e-01 
 3.37251478e-05  8.55070900e-01  3.90257317e+00 -2.13072882e-01 
 3.41251478e-05  8.68948566e-01  3.89826966e+00 -2.14663182e-01 
 3.45251478e-05  8.82781197e-01  3.89391085e+00 -2.13013695e-01 
 3.49251478e-05  8.96568663e-01  3.88949691e+00 -2.14606585e-01 
 3.53251478e-05  9.10310833e-01  3.88502803e+00 -2.12952857e-01 
 3.57251478e-05  9.24007580e-01  3.88050439e+00 -2.14548445e-01 
 3.61251478e-05  9.37658775e-01  3.87592618e+00 -2.12890367e-01 
 3.65251478e-05  9.51264291e-01  3.87129357e+00 -2.14488761e-01 
 3.69251478e-05  9.64824004e-01  3.86660677e+00 -2.12826224e-01 
 3.73251478e-05  9.78337787e-01  3.86186594e+00 -2.14427531e-01 
 3.77251478e-05  9.91805518e-01  3.85707127e+00 -2.12760426e-01 
 3.81251478e-05  1.00522707e+00  3.85222296e+00 -2.14364754e-01 
 3.85251478e-05  1.01860233e+00  3.84732118e+00 -2.12692972e-01 
 3.89251478e-05  1.03193117e+00  3.84236613e+00 -2.14300430e-01 
 3.93251478e-05  1.04521348e+00  3.83735799e+00 -2.12623858e-01 
 3.96625739e-05  1.05638170e+00  3.83309215e+00 -2.14239487e-01 
 4.00000000e-05  1.06751664e+00  3.82878879e+00 -2.12564308e-01 
 4.00100000e-05  1.06784612e+00  3.82866066e+00 -2.13410616e-01 
 4.00300000e-05  1.06850501e+00  3.82840434e+00 -2.13433707e-01 
 4.00650000e-05  1.06965778e+00  3.82795545e+00 -2.13469182e-01 
 4.01000000e-05  1.07081019e+00  3.82750615e+00 -2.13505917e-01 
